id,topic_name,word,phonetic,source
abec33f7-d5cf-4d78-abff-a16c73245224,IELTS writing - Describe Change/Trends,Fall,/fɔːl/,dictionary
a5939fa6-716f-4b2c-9666-eb07c03d8767,IELTS writing - Describe Change/Trends,Nosedive,/ˈnoʊzˌdaɪv/,eng_to_ipa
4e9b7508-0b80-414f-ac35-4ccf0af66efe,IELTS writing - Describe Change/Trends,Decline,/dɪˈklaɪn/,dictionary
0395f7cf-afc5-4bf1-b995-869a3b643d7f,IELTS writing - Describe Change/Trends,Slump,/slʌmp/,dictionary
3d2c04df-9efc-4a89-b2f5-7a11715c1577,IELTS writing - Describe Change/Trends,Undergo a decline,/ˌʌndəˈɡəʊ ə dɪˈklaɪn/,dictionary+fixed_function
36001913-7644-42da-9a2e-595368a96079,IELTS writing - Describe Change/Trends,Ascend,/əˈsɛnd/,dictionary
97f4bca8-7414-45ca-bff1-3d9d42b78419,IELTS writing - Describe Change/Trends,Jump,/dʒʌmp/,dictionary
8d829890-8e4f-4f69-bd09-e6cd3c5298e0,IELTS writing - Describe Change/Trends,Decrease,/ˈdiˌkris/,eng_to_ipa
9d2a9450-9ce2-4b21-9df1-67c353c03267,IELTS writing - Describe Change/Trends,Upswing,/ˈəpsˌwɪŋ/,eng_to_ipa
e0217c05-089e-4b89-9e1a-547ba3d43509,IELTS writing - Describe Change/Trends,Recede,/ɹɨˈsiːd/,dictionary
cd1656a6-bdea-4488-a9eb-284416452b5e,IELTS writing - Describe Change/Trends,Progress,/ˈpɹɒɡɹɛs/,dictionary
01516338-4513-4bc5-9224-bca6cf592f32,IELTS writing - Describe Change/Trends,Experience an upward trajectory,/ɪkˈspɪə.ɹɪəns ən ˈʌpwəd tɹəˈdʒɛktəɹɪ/,dictionary+fixed_function
0b5b0190-e0ef-4f1d-ad19-b19a09d1e700,IELTS writing - Describe Change/Trends,Eclipse,/iˈklɪps/,dictionary
0fd654c3-5e00-489d-8bb7-e4398ea81b0b,IELTS writing - Describe Change/Trends,Show a rise,/ʃəʊ ə ɹaɪs/,dictionary+fixed_function
2f8aed2d-eb43-40ec-a05b-59a594fe2ac9,IELTS writing - Describe Change/Trends,Skyrocket,/ˈskaɪˌɹɒk.ɪt/,dictionary
c4b3cb78-01a3-4560-8c84-29cf1c6a1cc8,IELTS writing - Describe Change/Trends,Leap,/liːp/,dictionary
25e6770b-91c5-459f-922c-4b94ee500121,IELTS writing - Describe Change/Trends,Recover,/ɹɪˈkʌvə/,dictionary
b6d7365b-a8b6-4835-8e6e-f27df633151e,IELTS writing - Describe Change/Trends,Drop,/dɹɒp/,dictionary
56983cdc-2f15-41b0-8eef-2875f5cca0aa,IELTS writing - Describe Change/Trends,Register a gain,/ˈɹɛdʒ.ɪs.tə ə ɡeɪn/,dictionary+fixed_function
bac21e88-bee5-4abe-94c0-9c733be0d5e2,IELTS writing - Describe Change/Trends,Improvement,/ˌɪmˈpruvmənt/,eng_to_ipa
7177b598-73e6-4d31-9806-0d327053c410,IELTS writing - Describe Change/Trends,Outstrip,/aʊtˈstrɪp/,eng_to_ipa
ee121421-49ed-4034-9f11-87d81cee07b9,IELTS writing - Describe Change/Trends,Demonstrate a fall,/ˈdɛmənˌstreɪt ə fɔːl/,dictionary+eng_to_ipa+fixed_function
bd480ec1-a58d-4576-aa61-12aa87e7649d,IELTS writing - Describe Change/Trends,Bounce back,/baʊns bæk/,eng_to_ipa
64fe5113-db6c-4fcd-9734-0e2e15b607f1,IELTS writing - Describe Change/Trends,Expansion,/ɪkˈspænʧən/,eng_to_ipa
509e51c2-1538-49f2-8cac-be4c6be57a4d,IELTS writing - Describe Change/Trends,Dwarf,/dwɔrf/,eng_to_ipa
778ac86d-a6db-416b-83fc-e5fb2bbc85e1,IELTS writing - Describe Change/Trends,Expand,/ɪkˈspænd/,eng_to_ipa
5201e43b-8406-40c3-9fc1-c0f4e801e39a,IELTS writing - Describe Change/Trends,Post a decline,/poʊst ə dɪˈklaɪn/,dictionary+eng_to_ipa+fixed_function
12f5710b-e4a7-43f5-b13e-ba67bb7299a5,IELTS writing - Describe Change/Trends,Rally,/ˈræli/,eng_to_ipa
e513e4b4-0185-4c46-81dc-681ae6341d46,IELTS writing - Describe Change/Trends,Advance,/ədˈvæns/,eng_to_ipa
1cb75e31-48c1-4a69-b1bf-8f0dc72e9a7c,IELTS writing - Describe Change/Trends,Overtake,/ˈoʊvərˌteɪk/,eng_to_ipa
a438049f-200d-49e9-8dbc-cfb917e2b10e,IELTS writing - Describe Change/Trends,Spiral downward,/ˈspaɪrəl ˈdaʊnwərd/,eng_to_ipa
4eb9f2a3-5126-4cf8-8db7-32493becb170,IELTS writing - Describe Change/Trends,Exhibit an increase,/ɪgˈzɪbɪt ən ˌɪnˈkris/,eng_to_ipa+fixed_function
2b2674ea-9fe4-4dd8-9d48-07b8b414d47e,IELTS writing - Describe Change/Trends,Increase,/ˌɪnˈkris/,eng_to_ipa
83aa8f54-1a2e-455f-af06-b754583a1e27,IELTS writing - Describe Change/Trends,Gain,/ɡeɪn/,dictionary
7ef0a448-154c-4bdb-990a-7fb65a4d61aa,IELTS writing - Describe Change/Trends,Climb,/klaɪm/,eng_to_ipa
4ee42456-6f47-44e0-adb4-dcd188d21347,IELTS writing - Describe Change/Trends,Rebound,/riˈbaʊnd/,eng_to_ipa
d2a76623-0c56-495a-b87b-2334fa86ec88,IELTS writing - Describe Change/Trends,Soar,/sɔr/,eng_to_ipa
807eed20-3089-4f81-8fc8-b9743444c7f9,IELTS writing - Describe Change/Trends,Plummet,/ˈpləmət/,eng_to_ipa
f463b85f-63ad-4f84-b3c5-fca8082c25d5,IELTS writing - Describe Change/Trends,Lag behind,/læg bɪˈhaɪnd/,eng_to_ipa
093da236-f871-4b4c-a9fc-3de749ff99e9,IELTS writing - Describe Change/Trends,Proliferate,/proʊˈlɪfərˌeɪt/,eng_to_ipa
2e649e77-0f2a-4a62-883b-bcd443cf8c29,IELTS writing - Describe Change/Trends,Outpace,/ˈaʊtˌpeɪs/,eng_to_ipa
06603f64-3af3-4058-9a34-ee8177d376f6,IELTS writing - Describe Change/Trends,Boom,/bum/,eng_to_ipa
30ae4c75-82ff-4f54-971b-abb4c26659a6,IELTS writing - Describe Change/Trends,Resurgence,/riˈsərʤəns/,eng_to_ipa
472896ba-00b9-4398-9afb-aa73a5274977,IELTS writing - Describe Change/Trends,Transcend,/trænˈsɛnd/,eng_to_ipa
6f7ab63d-48b1-4687-96a9-63979053a24d,IELTS writing - Describe Change/Trends,Record a growth,/ˈrɛkərd ə groʊθ/,eng_to_ipa+fixed_function
6f1e4d3c-245a-4ded-9099-38902c5c4b86,IELTS writing - Describe Change/Trends,Rocket,/ˈrɑkət/,eng_to_ipa
84c82b69-3f44-47d3-af6d-99a3f69b5030,IELTS writing - Describe Change/Trends,Escalate,/ˈɛskəˌleɪt/,eng_to_ipa
ab761163-b91d-47ed-a85e-ed3d8cef46d2,IELTS writing - Describe Change/Trends,Intensify,/ˌɪnˈtɛnsɪˌfaɪ/,eng_to_ipa
